,material,exp_label,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rX_rB_ratio,chi_AX_ratio,chi_BX_ratio,log_rA_rB_ratio,t_sisso,t,tau,t_jess,p_t_sisso,dataset
12,BaTaSe3,0.0,1.61,0.68,1.98,2.0,4.0,-2.0,0.89,1.5,2.55,2.367647058823529,0.3434343434343435,0.8131313131313131,-1.6599999999999997,-1.0499999999999998,-2.55,-1.94,2.9117647058823524,0.6509803921568627,0.5412371134020618,0.8618966598083562,2.8991036244347548,0.9543307289231272,4.405804001382068,1.1478344274226104,0.0538121068227689,test
13,CaCuCl3,0.0,1.34,0.77,1.81,2.0,1.0,-1.0,1.0,1.9,3.16,1.7402597402597404,0.425414364640884,0.7403314917127072,-2.16,-1.2600000000000002,-2.44,-1.54,2.3506493506493507,0.8852459016393444,0.8181818181818183,0.5540343780972276,3.0037510284672324,0.8633302215075127,4.632785655029878,0.9340949937622268,0.0266871585367657,test
14,AgSnCl3,0.0,1.28,1.15,1.81,1.0,2.0,-1.0,1.93,1.96,3.16,1.1130434782608696,0.6353591160220994,0.7071823204419889,-1.2300000000000002,-1.2000000000000002,-1.51,-1.48,1.573913043478261,0.8145695364238412,0.810810810810811,0.1070981355563671,11.207910693552416,0.7381640059955162,10.966656787136252,0.7415859583411908,2.1158634073455694e-24,test
15,RbNiBr3,0.0,1.72,0.69,1.96,1.0,2.0,-1.0,0.82,1.91,2.96,2.4927536231884058,0.3520408163265306,0.8775510204081632,-2.14,-1.05,-2.62,-1.53,2.840579710144928,0.816793893129771,0.6862745098039216,0.9133879722161936,3.1627614798278514,0.9819469847356608,4.569708731999822,1.1686989521706652,0.0091033900470247,test
16,SrNaCl3,0.0,1.44,1.02,1.81,2.0,1.0,-1.0,0.95,0.93,3.16,1.4117647058823528,0.56353591160221,0.7955801104972375,-2.21,-2.23,-2.49,-2.51,1.7745098039215683,0.8875502008032128,0.8884462151394423,0.3448404862917294,3.927311920832245,0.8120504691615338,5.962438785601655,0.8112315013391583,5.925509548172788e-05,test
17,RbVI3,0.0,1.72,0.79,2.2,1.0,2.0,-1.0,0.82,1.63,2.66,2.1772151898734178,0.359090909090909,0.7818181818181817,-1.8400000000000003,-1.0300000000000002,-2.62,-1.81,2.784810126582279,0.7022900763358779,0.5690607734806631,0.7780466243464316,2.892224385356432,0.927045339304388,4.583119535998847,1.1440864885567827,0.0563225911642087,test
18,CeErS3,0.0,1.34,0.89,1.84,3.0,3.0,-2.0,1.12,1.24,2.58,1.50561797752809,0.483695652173913,0.7282608695652174,-1.46,-1.34,-2.32,-2.2,2.067415730337079,0.6293103448275862,0.6090909090909091,0.4092034302187716,2.658949157798016,0.823664918813447,4.1055781674638485,0.8510073723715876,0.238678193754648,test
19,BaUSe3,1.0,1.61,0.89,1.98,2.0,4.0,-2.0,0.89,1.38,2.55,1.808988764044944,0.4494949494949495,0.8131313131313131,-1.6599999999999997,-1.17,-2.55,-2.06,2.224719101123596,0.6509803921568627,0.5679611650485437,0.5927679952523233,2.231135773596423,0.8845016511970448,4.328249583652136,1.0137897926708277,0.8714767753556973,test
20,BaNbS3,0.0,1.61,0.68,1.84,2.0,4.0,-2.0,0.89,1.6,2.58,2.367647058823529,0.3695652173913044,0.875,-1.69,-0.98,-2.55,-1.84,2.705882352941176,0.6627450980392157,0.5326086956521738,0.8618966598083562,2.7227010620229297,0.9680652937312132,4.19992164844089,1.2046001750246424,0.1655440922861284,test
21,SnTiS3,0.0,1.15,0.605,1.84,2.0,4.0,-2.0,1.96,1.54,2.58,1.900826446280992,0.3288043478260869,0.6249999999999999,-0.6200000000000001,-1.04,-1.48,-1.9,3.041322314049588,0.4189189189189189,0.5473684210526316,0.6422887633264545,2.716691874419598,0.8647258083881266,4.960237776423522,0.6618028860974617,0.1715703200801886,test
